column,dtype,non_null,missing_pct,unique,min,max,mean,std,top_values
pregnancies,int64,353224,0.0,17,0.0,17.0,0.008360134079224514,0.23818043575633924,
glucose,float64,353224,0.0,235,0.0,2372.0,60.3282319434693,67.10261830545302,
blood_pressure,float64,353224,0.0,184,-150.0,16020.0,25.6856923651847,85.67963864982703,
skin_thickness,float64,353224,0.0,51,0.0,99.0,0.06328845152084796,1.4163421377681489,
insulin,float64,353224,0.0,186,0.0,846.0,0.3058569066654587,7.689950629638946,
bmi,float64,353224,0.0,13010,1.0,298.66666,27.425262518922555,6.960240977040212,
diabetes_pedigree,float64,353224,0.0,518,0.0,2.42,0.0010259806808144405,0.02686003785395012,
age,float64,353224,0.0,1482,0.08,93.0,49.87484853371515,20.036995901295896,
target,int64,353224,0.0,2,0.0,1.0,0.029162797544900688,0.1682629161120104,
hypertension,int64,353224,0.0,2,0.0,1.0,0.029162797544900688,0.1682629161120104,
heart_disease,int64,353224,0.0,2,0.0,1.0,0.01116005707426449,0.10505018535298045,
hba1c_level,float64,353224,0.0,120,0.0,17.2,1.6556611668516297,2.612512574320023,
blood_glucose_level,float64,353224,0.0,235,0.0,2372.0,60.3282319434693,67.10261830545302,
gender_Female,int64,353224,0.0,2,0.0,1.0,0.5546367177768216,0.49700656775089047,
gender_Male,int64,353224,0.0,2,0.0,1.0,0.44313806536362194,0.4967569013148576,
smoking_history_current,int64,353224,0.0,2,0.0,1.0,0.026289266867483525,0.1599944179815451,
smoking_history_former,int64,353224,0.0,2,0.0,1.0,0.02647611713813331,0.16054658305518432,
smoking_history_never,int64,353224,0.0,2,0.0,1.0,0.09935621588567028,0.2991401203246438,
smoking_history_ever,int64,353224,0.0,2,0.0,1.0,0.011335583086087016,0.1058636829619372,
smoking_history_not current,int64,353224,0.0,2,0.0,1.0,0.01825187416483591,0.133861099590479,
